Tweet,Matched Keywords,Date,User,Source,Tweet ID,Tweet URL
Park Seo Joon can ace this,SEO,2020-06-07 11:37:08,sighingat99,Twitter for Android,1269594236313145346,https://twitter.com/statuses/1269594236313145346
SEO Sinhala – 100% 1st Page Ranking Keywords Research with Free Tools https://t.co/txoYlsuAjR,SEO,2020-06-07 11:37:12,seotorank1,WordPress.com,1269594253824491525,https://twitter.com/statuses/1269594253824491525
@ageealderite pag itaewon class sunod teng mkainlab kaau si park seo joon haha,SEO,2020-06-07 11:37:44,mingladeza,Twitter for iPhone,1269594385609404417,https://twitter.com/statuses/1269594385609404417
"Brutalidad policial evidencia naturaleza de EE.UU., dice líder iraní https://t.co/JFwyNCOx50",,2020-06-07 11:37:44,LuisEnr33483555,Twitter for Android,1269594388361097222,https://twitter.com/statuses/1269594388361097222
"@Olgandrienko Not sure how that would help your reputation with everyone else in the SEO community, but great, good for you guys...",SEO,2020-06-07 11:37:57,colinmcdermott,Twitter Web App,1269594441158995968,https://twitter.com/statuses/1269594441158995968
Asesinato de #Floyd conmociona a #EEUU. con grandes manifestaciones https://t.co/UhWH0ziiFJ,,2020-06-07 11:38:01,davidnajarro,Twitter Web App,1269594459190198274,https://twitter.com/statuses/1269594459190198274
Asesinato de #Floyd conmociona a EE.UU. con grandes manifestaciones https://t.co/b3FKKEnuSG,,2020-06-07 11:38:10,LuisEnr33483555,Twitter for Android,1269594494573449219,https://twitter.com/statuses/1269594494573449219
"@G_I_DLE 

Seo Soo-jin (Soojin) https://t.co/BAHzJfuhIJ",SEO,2020-06-07 11:38:11,ophnaix,Twitter for iPhone,1269594498553786368,https://twitter.com/statuses/1269594498553786368
"Masih dari OST nya Replay 1997 nih
Tp yg ini agak sedih sih lagunya
Our Love Like This - Eun Ji & Seo In Guk
https://t.co/o0sEfh1RhS",SEO,2020-06-07 11:38:11,chifauziah_,Twitter for Android,1269594499333804033,https://twitter.com/statuses/1269594499333804033
"// inappropriate tweet //

ang sarap ng abs ni park seo-joon

ok bye #wd",SEO,2020-06-07 11:38:11,cznedx,Twitter Web App,1269594501867134976,https://twitter.com/statuses/1269594501867134976
@marinelle_nelle park seo joon laaaaang!,SEO,2020-06-07 11:38:26,joyceshieee,Twitter for Android,1269594565226319872,https://twitter.com/statuses/1269594565226319872
Bona Eonni.               Vs.         Bona Oppa. https://t.co/oK19eVQkbn,,2020-06-07 11:38:32,95BONAWG,Twitter for Android,1269594589054111744,https://twitter.com/statuses/1269594589054111744
China remarcó entrega oportuna al mundo de datos sobre SARS-CoV-2 (+Foto) https://t.co/kNlvCzLIIu,,2020-06-07 11:38:36,gaPrensaLatina,Twitter Web App,1269594606997516295,https://twitter.com/statuses/1269594606997516295
#Venezuela: La defensa del sueño bolivariano https://t.co/EN5wFmBcRB,,2020-06-07 11:38:39,LuisEnr33483555,Twitter for Android,1269594616757706754,https://twitter.com/statuses/1269594616757706754
fw: put ranks down for any website: negative seo that works https://t.co/mbBzKOHFdb… https://t.co/3uG4LUW3lY,SEO,2020-06-07 11:38:46,infochristopher,Google,1269594646608523268,https://twitter.com/statuses/1269594646608523268
